,Line Type,Plan Type,Data Type,Promo Type,Model,Promo Value,Brand,Week,Date,Retailer,Type
0,NULL,NULL,NULL,Voucher Rate Plan,Google Pixel 7 Pro,0,Google,W19,8th May,Vodafone,Vodafone
1,NULL,NULL,NULL,Trade in bump up,Google Pixel 7 Pro,240,Google,W19,8th May,Vodafone,Vodafone
2,NULL,NULL,NULL,Bundle ,Google Pixel 7 Pro,0,Google,W19,8th May,Vodafone,Vodafone
3,NULL,NULL,NULL,Free Subscription,Google Pixel 7 Pro,0,Google,W19,8th May,Vodafone,Vodafone
4,NULL,NULL,NULL,Unique Discount,Google Pixel 7 Pro,0,Google,W19,8th May,Vodafone,Vodafone
5,NULL,NULL,NULL,Trade in Exclusive,Google Pixel 7 Pro,471,Google,W19,8th May,Vodafone,Vodafone
6,NULL,NULL,NULL,Voucher Rate Plan,Google Pixel 6 Pro,0,Google,W19,8th May,Vodafone,Vodafone
7,NULL,NULL,NULL,Trade in bump up,Google Pixel 6 Pro,0,Google,W19,8th May,Vodafone,Vodafone
8,NULL,NULL,NULL,Bundle ,Google Pixel 6 Pro,0,Google,W19,8th May,Vodafone,Vodafone
9,NULL,NULL,NULL,Free Subscription,Google Pixel 6 Pro,0,Google,W19,8th May,Vodafone,Vodafone
10,NULL,NULL,NULL,Unique Discount,Google Pixel 6 Pro,0,Google,W19,8th May,Vodafone,Vodafone
11,NULL,NULL,NULL,Trade in Exclusive,Google Pixel 6 Pro,0,Google,W19,8th May,Vodafone,Vodafone
12,NULL,NULL,NULL,Voucher Rate Plan,Apple iPhone 14 Pro Max,0,Apple,W19,8th May,Vodafone,Vodafone
13,NULL,NULL,NULL,Trade in bump up,Apple iPhone 14 Pro Max,0,Apple,W19,8th May,Vodafone,Vodafone
14,NULL,NULL,NULL,Bundle ,Apple iPhone 14 Pro Max,0,Apple,W19,8th May,Vodafone,Vodafone
15,NULL,NULL,NULL,Free Subscription,Apple iPhone 14 Pro Max,0,Apple,W19,8th May,Vodafone,Vodafone
16,NULL,NULL,NULL,Unique Discount,Apple iPhone 14 Pro Max,0,Apple,W19,8th May,Vodafone,Vodafone
17,NULL,NULL,NULL,Trade in Exclusive,Apple iPhone 14 Pro Max,471,Apple,W19,8th May,Vodafone,Vodafone
18,NULL,NULL,NULL,Voucher Rate Plan,Apple iPhone 14 Pro,0,Apple,W19,8th May,Vodafone,Vodafone
19,NULL,NULL,NULL,Trade in bump up,Apple iPhone 14 Pro,0,Apple,W19,8th May,Vodafone,Vodafone
20,NULL,NULL,NULL,Bundle ,Apple iPhone 14 Pro,0,Apple,W19,8th May,Vodafone,Vodafone
21,NULL,NULL,NULL,Free Subscription,Apple iPhone 14 Pro,0,Apple,W19,8th May,Vodafone,Vodafone
22,NULL,NULL,NULL,Unique Discount,Apple iPhone 14 Pro,0,Apple,W19,8th May,Vodafone,Vodafone
23,NULL,NULL,NULL,Trade in Exclusive,Apple iPhone 14 Pro,471,Apple,W19,8th May,Vodafone,Vodafone
24,NULL,NULL,NULL,Voucher Rate Plan,Apple iPhone 14 Plus,0,Apple,W19,8th May,Vodafone,Vodafone
25,NULL,NULL,NULL,Trade in bump up,Apple iPhone 14 Plus,0,Apple,W19,8th May,Vodafone,Vodafone
26,NULL,NULL,NULL,Bundle ,Apple iPhone 14 Plus,0,Apple,W19,8th May,Vodafone,Vodafone
27,NULL,NULL,NULL,Free Subscription,Apple iPhone 14 Plus,0,Apple,W19,8th May,Vodafone,Vodafone
28,NULL,NULL,NULL,Unique Discount,Apple iPhone 14 Plus,0,Apple,W19,8th May,Vodafone,Vodafone
29,NULL,NULL,NULL,Trade in Exclusive,Apple iPhone 14 Plus,471,Apple,W19,8th May,Vodafone,Vodafone
30,NULL,NULL,NULL,Voucher Rate Plan,Apple iPhone 13 Pro Max,0,Apple,W19,8th May,Vodafone,Vodafone
31,NULL,NULL,NULL,Trade in bump up,Apple iPhone 13 Pro Max,0,Apple,W19,8th May,Vodafone,Vodafone
32,NULL,NULL,NULL,Bundle ,Apple iPhone 13 Pro Max,0,Apple,W19,8th May,Vodafone,Vodafone
33,NULL,NULL,NULL,Free Subscription,Apple iPhone 13 Pro Max,0,Apple,W19,8th May,Vodafone,Vodafone
34,NULL,NULL,NULL,Unique Discount,Apple iPhone 13 Pro Max,0,Apple,W19,8th May,Vodafone,Vodafone
35,NULL,NULL,NULL,Trade in Exclusive,Apple iPhone 13 Pro Max,0,Apple,W19,8th May,Vodafone,Vodafone
36,NULL,NULL,NULL,Voucher Rate Plan,Apple iPhone 13 Pro,0,Apple,W19,8th May,Vodafone,Vodafone
37,NULL,NULL,NULL,Trade in bump up,Apple iPhone 13 Pro,0,Apple,W19,8th May,Vodafone,Vodafone
38,NULL,NULL,NULL,Bundle ,Apple iPhone 13 Pro,0,Apple,W19,8th May,Vodafone,Vodafone
39,NULL,NULL,NULL,Free Subscription,Apple iPhone 13 Pro,0,Apple,W19,8th May,Vodafone,Vodafone
40,NULL,NULL,NULL,Unique Discount,Apple iPhone 13 Pro,0,Apple,W19,8th May,Vodafone,Vodafone
41,NULL,NULL,NULL,Trade in Exclusive,Apple iPhone 13 Pro,0,Apple,W19,8th May,Vodafone,Vodafone
42,NULL,NULL,NULL,Voucher Rate Plan,Samsung Galaxy Z Fold3,0,Samsung,W19,8th May,Vodafone,Vodafone
43,NULL,NULL,NULL,Trade in bump up,Samsung Galaxy Z Fold3,0,Samsung,W19,8th May,Vodafone,Vodafone
44,NULL,NULL,NULL,Bundle ,Samsung Galaxy Z Fold3,0,Samsung,W19,8th May,Vodafone,Vodafone
45,NULL,NULL,NULL,Free Subscription,Samsung Galaxy Z Fold3,0,Samsung,W19,8th May,Vodafone,Vodafone
46,NULL,NULL,NULL,Unique Discount,Samsung Galaxy Z Fold3,0,Samsung,W19,8th May,Vodafone,Vodafone
47,NULL,NULL,NULL,Trade in Exclusive,Samsung Galaxy Z Fold3,0,Samsung,W19,8th May,Vodafone,Vodafone
48,NULL,NULL,NULL,Voucher Rate Plan,Samsung Galaxy Z Fold4,0,Samsung,W19,8th May,Vodafone,Vodafone
49,NULL,NULL,NULL,Trade in bump up,Samsung Galaxy Z Fold4,120,Samsung,W19,8th May,Vodafone,Vodafone
50,NULL,NULL,NULL,Bundle ,Samsung Galaxy Z Fold4,0,Samsung,W19,8th May,Vodafone,Vodafone
51,NULL,NULL,NULL,Free Subscription,Samsung Galaxy Z Fold4,0,Samsung,W19,8th May,Vodafone,Vodafone
52,NULL,NULL,NULL,Unique Discount,Samsung Galaxy Z Fold4,0,Samsung,W19,8th May,Vodafone,Vodafone
53,NULL,NULL,NULL,Trade in Exclusive,Samsung Galaxy Z Fold4,471,Samsung,W19,8th May,Vodafone,Vodafone
54,NULL,NULL,NULL,Voucher Rate Plan,Samsung Galaxy S22 Ultra,0,Samsung,W19,8th May,Vodafone,Vodafone
55,NULL,NULL,NULL,Trade in bump up,Samsung Galaxy S22 Ultra,0,Samsung,W19,8th May,Vodafone,Vodafone
56,NULL,NULL,NULL,Bundle ,Samsung Galaxy S22 Ultra,0,Samsung,W19,8th May,Vodafone,Vodafone
57,NULL,NULL,NULL,Free Subscription,Samsung Galaxy S22 Ultra,0,Samsung,W19,8th May,Vodafone,Vodafone
58,NULL,NULL,NULL,Unique Discount,Samsung Galaxy S22 Ultra,0,Samsung,W19,8th May,Vodafone,Vodafone
59,NULL,NULL,NULL,Trade in Exclusive,Samsung Galaxy S22 Ultra,0,Samsung,W19,8th May,Vodafone,Vodafone
60,NULL,NULL,NULL,Voucher Rate Plan,Samsung Galaxy S23 Ultra,0,Samsung,W19,8th May,Vodafone,Vodafone
61,NULL,NULL,NULL,Trade in bump up,Samsung Galaxy S23 Ultra,240,Samsung,W19,8th May,Vodafone,Vodafone
62,NULL,NULL,NULL,Bundle ,Samsung Galaxy S23 Ultra,0,Samsung,W19,8th May,Vodafone,Vodafone
63,NULL,NULL,NULL,Free Subscription,Samsung Galaxy S23 Ultra,0,Samsung,W19,8th May,Vodafone,Vodafone
64,NULL,NULL,NULL,Unique Discount,Samsung Galaxy S23 Ultra,0,Samsung,W19,8th May,Vodafone,Vodafone
65,NULL,NULL,NULL,Trade in Exclusive,Samsung Galaxy S23 Ultra,471,Samsung,W19,8th May,Vodafone,Vodafone
66,NULL,NULL,NULL,Voucher Rate Plan,Samsung Galaxy S22+,0,Samsung,W19,8th May,Vodafone,Vodafone
67,NULL,NULL,NULL,Trade in bump up,Samsung Galaxy S22+,0,Samsung,W19,8th May,Vodafone,Vodafone
68,NULL,NULL,NULL,Bundle ,Samsung Galaxy S22+,0,Samsung,W19,8th May,Vodafone,Vodafone
69,NULL,NULL,NULL,Free Subscription,Samsung Galaxy S22+,0,Samsung,W19,8th May,Vodafone,Vodafone
70,NULL,NULL,NULL,Unique Discount,Samsung Galaxy S22+,0,Samsung,W19,8th May,Vodafone,Vodafone
71,NULL,NULL,NULL,Trade in Exclusive,Samsung Galaxy S22+,0,Samsung,W19,8th May,Vodafone,Vodafone
72,NULL,NULL,NULL,Voucher Rate Plan,Samsung Galaxy S23+,0,Samsung,W19,8th May,Vodafone,Vodafone
73,NULL,NULL,NULL,Trade in bump up,Samsung Galaxy S23+,240,Samsung,W19,8th May,Vodafone,Vodafone
74,NULL,NULL,NULL,Bundle ,Samsung Galaxy S23+,0,Samsung,W19,8th May,Vodafone,Vodafone
75,NULL,NULL,NULL,Free Subscription,Samsung Galaxy S23+,0,Samsung,W19,8th May,Vodafone,Vodafone
76,NULL,NULL,NULL,Unique Discount,Samsung Galaxy S23+,0,Samsung,W19,8th May,Vodafone,Vodafone
77,NULL,NULL,NULL,Trade in Exclusive,Samsung Galaxy S23+,471,Samsung,W19,8th May,Vodafone,Vodafone
78,NULL,NULL,NULL,Voucher Rate Plan,Samsung Galaxy Z Flip3,0,Samsung,W19,8th May,Vodafone,Vodafone
79,NULL,NULL,NULL,Trade in bump up,Samsung Galaxy Z Flip3,0,Samsung,W19,8th May,Vodafone,Vodafone
80,NULL,NULL,NULL,Bundle ,Samsung Galaxy Z Flip3,0,Samsung,W19,8th May,Vodafone,Vodafone
81,NULL,NULL,NULL,Free Subscription,Samsung Galaxy Z Flip3,0,Samsung,W19,8th May,Vodafone,Vodafone
82,NULL,NULL,NULL,Unique Discount,Samsung Galaxy Z Flip3,0,Samsung,W19,8th May,Vodafone,Vodafone
83,NULL,NULL,NULL,Trade in Exclusive,Samsung Galaxy Z Flip3,0,Samsung,W19,8th May,Vodafone,Vodafone
84,NULL,NULL,NULL,Voucher Rate Plan,Samsung Galaxy Z Flip4,0,Samsung,W19,8th May,Vodafone,Vodafone
85,NULL,NULL,NULL,Trade in bump up,Samsung Galaxy Z Flip4,120,Samsung,W19,8th May,Vodafone,Vodafone
86,NULL,NULL,NULL,Bundle ,Samsung Galaxy Z Flip4,0,Samsung,W19,8th May,Vodafone,Vodafone
87,NULL,NULL,NULL,Free Subscription,Samsung Galaxy Z Flip4,0,Samsung,W19,8th May,Vodafone,Vodafone
88,NULL,NULL,NULL,Unique Discount,Samsung Galaxy Z Flip4,0,Samsung,W19,8th May,Vodafone,Vodafone
89,NULL,NULL,NULL,Trade in Exclusive,Samsung Galaxy Z Flip4,471,Samsung,W19,8th May,Vodafone,Vodafone
90,NULL,NULL,NULL,Voucher Rate Plan,Google Pixel 7,0,Google,W19,8th May,Vodafone,Vodafone
91,NULL,NULL,NULL,Trade in bump up,Google Pixel 7,120,Google,W19,8th May,Vodafone,Vodafone
92,NULL,NULL,NULL,Bundle ,Google Pixel 7,0,Google,W19,8th May,Vodafone,Vodafone
93,NULL,NULL,NULL,Free Subscription,Google Pixel 7,0,Google,W19,8th May,Vodafone,Vodafone
94,NULL,NULL,NULL,Unique Discount,Google Pixel 7,0,Google,W19,8th May,Vodafone,Vodafone
95,NULL,NULL,NULL,Trade in Exclusive,Google Pixel 7,471,Google,W19,8th May,Vodafone,Vodafone
96,NULL,NULL,NULL,Voucher Rate Plan,Google Pixel 6,0,Google,W19,8th May,Vodafone,Vodafone
97,NULL,NULL,NULL,Trade in bump up,Google Pixel 6,0,Google,W19,8th May,Vodafone,Vodafone
98,NULL,NULL,NULL,Bundle ,Google Pixel 6,0,Google,W19,8th May,Vodafone,Vodafone
99,NULL,NULL,NULL,Free Subscription,Google Pixel 6,0,Google,W19,8th May,Vodafone,Vodafone
100,NULL,NULL,NULL,Unique Discount,Google Pixel 6,0,Google,W19,8th May,Vodafone,Vodafone
101,NULL,NULL,NULL,Trade in Exclusive,Google Pixel 6,0,Google,W19,8th May,Vodafone,Vodafone
102,NULL,NULL,NULL,Voucher Rate Plan,Apple iPhone 14,0,Apple,W19,8th May,Vodafone,Vodafone
103,NULL,NULL,NULL,Trade in bump up,Apple iPhone 14,0,Apple,W19,8th May,Vodafone,Vodafone
104,NULL,NULL,NULL,Bundle ,Apple iPhone 14,0,Apple,W19,8th May,Vodafone,Vodafone
105,NULL,NULL,NULL,Free Subscription,Apple iPhone 14,0,Apple,W19,8th May,Vodafone,Vodafone
106,NULL,NULL,NULL,Unique Discount,Apple iPhone 14,0,Apple,W19,8th May,Vodafone,Vodafone
107,NULL,NULL,NULL,Trade in Exclusive,Apple iPhone 14,471,Apple,W19,8th May,Vodafone,Vodafone
108,NULL,NULL,NULL,Voucher Rate Plan,Apple iPhone 13,0,Apple,W19,8th May,Vodafone,Vodafone
109,NULL,NULL,NULL,Trade in bump up,Apple iPhone 13,0,Apple,W19,8th May,Vodafone,Vodafone
110,NULL,NULL,NULL,Bundle ,Apple iPhone 13,0,Apple,W19,8th May,Vodafone,Vodafone
111,NULL,NULL,NULL,Free Subscription,Apple iPhone 13,0,Apple,W19,8th May,Vodafone,Vodafone
112,NULL,NULL,NULL,Unique Discount,Apple iPhone 13,0,Apple,W19,8th May,Vodafone,Vodafone
113,NULL,NULL,NULL,Trade in Exclusive,Apple iPhone 13,471,Apple,W19,8th May,Vodafone,Vodafone
114,NULL,NULL,NULL,Voucher Rate Plan,Apple iPhone 13 mini,0,Apple,W19,8th May,Vodafone,Vodafone
115,NULL,NULL,NULL,Trade in bump up,Apple iPhone 13 mini,0,Apple,W19,8th May,Vodafone,Vodafone
116,NULL,NULL,NULL,Bundle ,Apple iPhone 13 mini,0,Apple,W19,8th May,Vodafone,Vodafone
117,NULL,NULL,NULL,Free Subscription,Apple iPhone 13 mini,0,Apple,W19,8th May,Vodafone,Vodafone
